"","go_ids","Freq"
"548","GO:0006418",840
"549","GO:0006419",41
"550","GO:0006421",80
"551","GO:0006422",80
"552","GO:0006423",81
"553","GO:0006424",36
"554","GO:0006426",80
"555","GO:0006430",80
"556","GO:0006432",160
"557","GO:0006433",80
"558","GO:0006434",1
"559","GO:0006437",80
"560","GO:0006438",41
"561","GO:0006446",241
"562","GO:0006448",80
"563","GO:0006450",325
"564","GO:0006457",508
"565","GO:0006458",182
"566","GO:0006464",1594
"567","GO:0006468",322
"568","GO:0006469",41
"569","GO:0006470",162
"570","GO:0006473",3
"571","GO:0006474",3
"572","GO:0006479",120
"573","GO:0006486",78
"574","GO:0006487",78
"575","GO:0006493",76
"576","GO:0006497",3
"577","GO:0006498",3
"578","GO:0006499",3
"579","GO:0006508",972
"580","GO:0006511",4
"581","GO:0006515",160
"582","GO:0006518",3651
"583","GO:0006520",3385
"584","GO:0006521",80
"585","GO:0006525",118
"586","GO:0006527",118
"587","GO:0006528",81
"588","GO:0006530",81
"589","GO:0006531",126
"590","GO:0006534",48
"591","GO:0006535",4
"592","GO:0006536",163
"593","GO:0006537",81
"594","GO:0006541",482
"595","GO:0006542",240
"596","GO:0006543",81
"597","GO:0006544",277
"598","GO:0006545",1
"599","GO:0006546",117
"600","GO:0006547",1
"601","GO:0006548",1
"602","GO:0006553",331
"603","GO:0006555",201
"604","GO:0006558",281
"605","GO:0006559",203
"606","GO:0006560",42
"607","GO:0006561",40
"608","GO:0006562",2
"609","GO:0006563",131
"610","GO:0006564",126
"611","GO:0006565",1
"612","GO:0006566",82
"613","GO:0006567",82
"614","GO:0006568",317
"615","GO:0006570",121
"616","GO:0006572",121
"617","GO:0006573",37
"618","GO:0006575",310
"619","GO:0006576",354
"620","GO:0006586",317
"621","GO:0006595",37
"622","GO:0006596",37
"623","GO:0006605",240
"624","GO:0006612",160
"625","GO:0006613",159
"626","GO:0006614",159
"627","GO:0006616",159
"628","GO:0006629",1777
"629","GO:0006631",798
"630","GO:0006633",612
"631","GO:0006635",2
"632","GO:0006636",81
"633","GO:0006637",196
"634","GO:0006643",205
"635","GO:0006644",405
"636","GO:0006650",160
"637","GO:0006655",80
"638","GO:0006662",2
"639","GO:0006664",205
"640","GO:0006690",81
"641","GO:0006692",81
"642","GO:0006693",81
"643","GO:0006720",200
"644","GO:0006721",40
"645","GO:0006725",12328
"646","GO:0006730",6
"647","GO:0006732",2399
"648","GO:0006733",836
"649","GO:0006734",243
"650","GO:0006735",37
"651","GO:0006739",241
"652","GO:0006741",81
"653","GO:0006743",236
"654","GO:0006744",236
"655","GO:0006749",110
"656","GO:0006750",110
"657","GO:0006753",3025
"658","GO:0006754",554
"659","GO:0006757",153
"660","GO:0006760",163
"661","GO:0006766",1006
"662","GO:0006767",1006
"663","GO:0006768",403
"664","GO:0006771",126
"665","GO:0006772",199
"666","GO:0006777",4
"667","GO:0006778",129
"668","GO:0006779",129
"669","GO:0006782",44
"670","GO:0006783",129
"671","GO:0006790",1675
"672","GO:0006793",5116
"673","GO:0006796",5029
"674","GO:0006797",44
"675","GO:0006798",44
"676","GO:0006801",80
"677","GO:0006807",19232
"678","GO:0006810",1966
"679","GO:0006811",1077
"680","GO:0006812",993
"681","GO:0006813",1
"682","GO:0006814",5
"683","GO:0006820",288
"684","GO:0006825",80
"685","GO:0006826",81
"686","GO:0006855",36
"687","GO:0006857",202
"688","GO:0006863",2
"689","GO:0006865",244
"690","GO:0006869",244
"691","GO:0006886",240
"692","GO:0006887",1
"693","GO:0006915",67
"694","GO:0006928",323
"695","GO:0006950",4455
"696","GO:0006952",223
"697","GO:0006955",68
"698","GO:0006959",67
"699","GO:0006970",85
"700","GO:0006974",2066
"701","GO:0006979",391
"702","GO:0006986",80
"703","GO:0006995",1
"704","GO:0006996",2464
"705","GO:0006997",41
"706","GO:0006998",41
"707","GO:0007005",30
"708","GO:0007010",38
"709","GO:0007017",37
"710","GO:0007021",23
"711","GO:0007030",54
"712","GO:0007049",404
"713","GO:0007059",163
"714","GO:0007062",80
"715","GO:0007088",41
"716","GO:0007097",1
"717","GO:0007124",1
"718","GO:0007140",41
"719","GO:0007143",41
"720","GO:0007154",923
"721","GO:0007163",1
"722","GO:0007165",273
"723","GO:0007166",81
"724","GO:0007167",81
"725","GO:0007178",81
"726","GO:0007179",81
"727","GO:0007186",81
"728","GO:0007267",1
"729","GO:0007268",1
"730","GO:0007275",244
"731","GO:0007276",122
"732","GO:0007281",41
"733","GO:0007282",41
"734","GO:0007283",41
"735","GO:0007284",41
"736","GO:0007292",122
"737","GO:0007293",41
"738","GO:0007346",122
"739","GO:0007399",37
